NavCustomerNo;CompanyName;CustomerStatus;PriorityCustomer;PPS;OcFwTerr;OcFwSat;OcNotam;CustomerSince;PriceEscalation;Terminationdate;ChurnValue;Avoidable;ChurnReason;BlockedDate;BlockedReason
COM13497;Air Taxi and Charter International;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12398;AIR TRANSPORT EUROPE, spol. s r.o. (ATE);Customer;3;1;0;0;0;09/01/2012 00:00:00;8.00;;0;;;;
;Air Transport International LLC;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM14029;InterCaribbean Airways;Customer;1;16;17;0;0;03/21/2023 00:00:00;8.00;;0;;;;
;Air VIA;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12630;AIR VOLTA;PotCust;0;0;0;0;0;02/01/2014 00:00:00;0.00;;0;Avoidable;Going to ForeFlight for webbased solution.;11/07/2023 00:00:00;The customer has terminated the contract
COM14601;AIR WISCONSIN AIRLINES;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12530;Air X Charter Ltd;Customer;3;0;0;0;0;05/01/2013 00:00:00;8.00;;0;;;02/06/2024 00:00:00;
COM11452;UNICAIR (Air Alliance Express AG & Co. KG);Customer;2;11;0;0;0;12/01/2012 00:00:00;8.00;;0;;;;
COM14096;AirAsia Group Berhad;PotCust;0;0;0;0;0;;0.00;;0;;;;
;AirBlue;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12413;AIRBUS TRANSPORT INT. (FR89383474814);PotCust;0;0;0;0;0;11/01/2012 00:00:00;0.00;;0;;;11/11/2020 00:00:00;Terminated agreement end 2020.
COM13040;Aircompany Armenia LLC (Air Dilijans LLC);NonCust;0;0;0;0;0;09/01/2016 00:00:00;0.00;09/11/2024 00:00:00;0;Unavoidable;No aircraft left.;10/02/2024 00:00:00;No aircraft left.
COM12929;airCreebec;Customer;2;21;0;0;0;07/01/2016 00:00:00;8.00;;0;;;;
;Airfast Indonesia;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12690;AIR INUIT;Customer;1;29;0;0;0;05/01/2015 00:00:00;8.00;;0;;;;
COM12379;AIRJETSUL;PotCust;0;0;0;0;0;04/01/2017 00:00:00;0.00;;0;;;08/17/2021 00:00:00;Closed due to missing payment
COM11025;AIRLINK GmbH;Customer;2;5;0;0;0;10/01/1994 00:00:00;8.00;;0;;;;
COM13570;Airspeedcharter (AeroStan);Customer;0;4;2;0;0;11/14/2019 00:00:00;8.00;;0;;;;
COM13985;Airstream;PotCust;0;0;0;0;0;01/03/2018 00:00:00;0.00;01/31/2024 00:00:00;0;Avoidable;Changing to a provider who is a friend of their CEO.;02/20/2024 00:00:00;Churned iflg. HEH mail 20.02.2024
COM13649;Airtask Ltd;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM14140;AIR-TEC;PotCust;0;0;0;0;0;;0.00;;0;;;;
;AIRTRANS Flugzeugvermietungsgesellschaft mbH;PotCust;0;0;0;0;0;;0.00;;0;;;01/03/2022 00:00:00;Test expired, decided to go for FF due to Jeppesen terminal charts and pilot driven FPL
;USAG Airways 693 LLC;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12034;Air X Charter (Germany) GmbH & Co KG;PotCust;0;0;0;0;0;01/01/2011 00:00:00;0.00;;0;;;02/15/2021 00:00:00;Contract terminated
COM11902;AIS Airlines;Customer;3;1;1;0;0;08/01/2010 00:00:00;8.00;;0;;;;
COM11885;AJ PRODUKTER AB;PotCust;0;0;0;0;0;11/01/2011 00:00:00;0.00;;0;;;09/15/2021 00:00:00;No need for own account, they have aircraft on Hummingbird AOC
;AK-AIR GEORGIA L.T.D.;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM12052;Air Igor (Mng account - Aerotranscargo Moldova);PotCust;0;0;0;0;0;04/01/2012 00:00:00;0.00;;0;Unavoidable;will use SHJ ahead, they have office next door. I guess that is a better finansiel option for them.;01/02/2024 00:00:00;They have ended they contract with us
;Alaska Airlines Inc;PotCust;0;0;0;0;0;;0.00;;0;;;;
;Albawings sh.p.k;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13332;Alexandria Airlines;Customer via;0;2;2;2;0;;0.00;;0;;;;Covid-19 closure. No activity, no payment
;ALFA AIRLINES SD;PotCust;0;0;0;0;0;;0.00;;0;;;;No sale
COM13572;ALHAYA AVIATION;Customer;0;2;0;0;0;01/01/2020 00:00:00;8.00;;0;;;;
;ALITALIA;PotCust;0;0;0;0;0;;0.00;;0;;;;Account closed correctly
COM11573;ALKAN AIR;Customer;3;1;1;0;0;08/01/2008 00:00:00;8.00;;0;;;;
COM13555;Alliance Air (India);PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13594;ALLIANCE FLIGHT SUPPORT;Customer;3;0;0;0;0;03/01/2020 00:00:00;8.00;;0;;Churned JAN 2026, unchurned MAR 2026;;
COM13436;ALLIED AIR;PotCust;0;0;0;0;0;04/01/2019 00:00:00;0.00;;0;Unavoidable;Missing payment;;renewed interest LN
COM12829;AlMasria Universal Airlines;Customer;2;8;8;0;0;04/01/2016 00:00:00;8.00;;0;;;11/16/2021 00:00:00;
COM12693;Alpha Jet Services PC;NonCust;0;0;0;0;0;07/01/2014 00:00:00;0.00;;0;Unavoidable;No activity for the past 5 months.;12/11/2023 00:00:00;Terminated the contract
COM14038;Alpha Star Aviation Services/ Infinity Aviation Academy;Customer;0;0;0;0;0;06/21/2022 00:00:00;8.00;;0;;;09/27/2023 00:00:00;
COM13432;AFS ALPINE FLIGHTSERVICE GMBH;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM13891;ALS LIMITED;Customer;2;13;0;0;0;12/01/2021 00:00:00;8.00;;0;Unavoidable;reopen after partial payment 16/4, with promise of full payment.;;
COM12607;ALTENRHEIN LUFTFAHRT GmbH;Customer;3;1;0;0;0;12/01/2013 00:00:00;8.00;;0;;;;
;Alto Aerospace Ltd;PotCust;0;0;0;0;0;;0.00;;0;;;;
;Altona;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM12339;AMAC Corporate Jet AG;Customer;3;0;0;0;0;04/01/2012 00:00:00;8.00;;0;;;;
COM11438;AMAPOLA FLYG AB;Customer;2;11;0;0;0;10/01/2007 00:00:00;8.00;;0;;;;
;Línea Aérea Amaszonas S.A.;PotCust;0;0;0;0;0;;0.00;;0;;;;
;AMC Aviation poland;PotCust;0;0;0;0;0;;0.00;;0;;;;
;AMERIDAIR;PotCust;0;0;0;0;0;;0.00;;0;;;;
;Amira Air;PotCust;0;0;0;0;0;;0.00;;0;;;;
COM11859;AMJET EXECUTIVE;Quarantine;0;0;0;0;0;10/01/2012 00:00:00;0.00;08/12/2024 00:00:00;0;Unavoidable;Missing payment  - year after year.;08/12/2024 00:00:00;No payment, no communication.
COM13377;AMREF Flying Doctors;Customer;2;5;5;5;0;12/01/2018 00:00:00;8.00;;0;;;;
COM13460;AOPA DMU;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM12361;THREE GREEN AERO (AOSAC / 3Green);Customer;2;7;7;1;6;02/01/2013 00:00:00;8.00;;0;;;;
COM13587;Aquila Aerospace LLC;NonCust;0;0;0;0;0;;0.00;;0;;;;
COM13631;Aquiline Int'l Corp LTD;PotCust;0;0;0;0;0;;0.00;;0;;;12/01/2020 00:00:00;Have a signed agreement, but never received the impl payment. No comm therefore closing account.
COM11314;Arab Wings;Customer;0;10;0;0;0;05/01/2006 00:00:00;8.00;;0;;;;
COM12529;ARCUS AIR GmbH. & Co KG;Customer via;0;0;0;0;0;01/15/2025 00:00:00;0.00;;0;;;;Another flight planning system chosen
COM12732;Arena Aviation;PotCust;0;0;0;0;0;03/01/2017 00:00:00;0.00;;0;;;05/17/2022 00:00:00;Closed permanently acc to google, therefore blocked
COM12353;ARKIA;PotCust;0;0;0;0;0;05/01/2013 00:00:00;0.00;;0;;;;Closed correctly
;Art Aviation;Quarantine;0;0;0;0;0;;0.00;;0;;;;
COM13363;Asia Jet Sdn Bhd;PotCust;0;0;0;0;0;;0.00;;0;;;;
;Belair Airlines AG;NonCust;0;0;0;0;0;;0.00;;0;;;;
;Ryanair Sun (BUZZ);PotCust;0;0;0;0;0;;0.00;;0;;;;
