NavCustomerNo,CompanyName,Country,Last12Months,Balance,FleetSize,Year2022,Dev2223,Year2023,Dev2324,Year2024,Dev2425,Year2025,YearToDate,LastYearToDate,LastFinancialYear
COM11231,WX Support ApS,DK,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11236,Bookajet Ltd. Operations Department,GB,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11254,AIR ARABIA,AE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11255,Aviation Services Management FZE (ASM),AE,140210,16620,2,0,0,0,0,0,0,144655,81926,86371,144655
COM11259,RusAero Open JSC (CCAS),RU,0,0,1,0,0,0,0,0,0,0,0,0,0
COM11288,Avinode AB,SE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11297,Blue Islands Ltd.,GG,37438,0,5,0,0,0,0,0,0,115761,0,78322,115761
,,,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11312,Luxaviation S.A. (Part of Luxaviation Group),LU,0,0,3,0,0,0,0,0,0,0,0,0,0
COM11314,Arab Wings,JO,15087,5026,10,0,0,0,0,0,0,264255,-35828,213340,264255
COM11319,MEDAVIA,MT,0,0,0,0,0,0,0,0,0,5014,0,5014,5014
COM11327,Lancelot,ES,213883,23477,7,0,0,0,0,0,0,168172,139441,93730,168172
COM11328,HADID Int. services Ltd.,AE,68318,0,0,0,0,0,0,0,0,75345,30273,37300,75345
COM11331,JETEX FZE,AE,376580,0,0,0,0,0,0,0,0,302736,234182,160338,302736
COM11332,JET TIME (old),DK,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11340,NAC Nordic Aviation Capital,DK,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11343,ASL nv (Air Service Leige NV) MOTHER COMPANY,BE,386968,61085,30,0,0,0,0,0,0,354264,225545,192841,354264
COM11345,EASTERN AIRWAYS (UK) Ltd.,GB,94383,0,17,0,0,0,0,0,0,355575,0,261192,355575
COM11350,Q-Gate & Interflight Services,DE,50343,0,0,0,0,0,0,0,0,46406,25920,21983,46406
COM11363,Air Link International (CY) Ltd,CY,50343,0,0,0,0,0,0,0,0,48401,25920,23978,48401
COM11368,Flex Flight ApS,DK,79171,10117,3,0,0,0,0,0,0,100084,46254,67168,100084
COM11386,LOGANAIR Ltd.a,GB,986971,0,35,0,0,0,0,0,0,928827,601340,543196,928827
COM11391,Babcock Scandinavian Air Ambulance AB,SE,0,0,2,0,0,0,0,0,0,0,0,0,0
COM11394,SaxonAir Charter Ltd.,GB,112200,0,6,0,0,0,0,0,0,174908,43763,106472,174908
COM11404,SAAB AB,SE,124230,0,12,0,0,0,0,0,0,124230,0,0,124230
COM11411,Papier-Mettler KG,DE,0,0,2,0,0,0,0,0,0,9018,0,9018,9018
COM11413,Air Baltic,LV,331279,29202,50,0,0,0,0,0,0,305543,203523,177786,305543
COM11416,HTM Jet Service GmbH & Co KG,DE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11417,ACT AIRLINES,TR,0,0,5,0,0,0,0,0,0,0,0,0,0
COM11423,ABC Bedarfsflug GmbH,AT,96349,0,10,0,0,0,0,0,0,94367,57010,55028,94367
COM11424,Bel Air Aviation A/S,DK,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11427,VistaJet GmbH (Air Hamburg),DE,471638,40372,41,0,0,0,0,0,0,451001,283629,262992,451001
COM11438,AMAPOLA FLYG AB,SE,446419,0,12,0,0,0,0,0,0,427809,266370,247761,427809
COM11440,EMPIRE AVIATION GROUP,AE,341815,0,18,0,0,0,0,0,0,342764,1025,1974,342764
COM11452,UNICAIR (Air Alliance Express AG & Co. KG),DE,370554,0,10,0,0,0,0,0,0,369879,193893,193218,369879
COM11466,SPRINTAIR SA,PL,316533,0,15,0,0,0,0,0,0,290970,195565,170002,290970
COM11467,Air Tanzania Company Ltd.,TZ,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11469,Signum Aviation,GB,388446,27776,1,0,0,0,0,0,0,527438,210077,349069,527438
COM11488,GLOBEAIR AG,AT,213807,18316,19,0,0,0,0,0,0,201490,128170,115854,201490
COM11494,Flightworx Aviation Ltd.,GB,270762,22992,1,0,0,0,0,0,0,236941,165972,132151,236941
COM11502,Air Charter Scotland Ltd.,GB,161261,0,9,0,0,0,0,0,0,202368,90706,131814,202368
COM11507,AER ARANN Ltd. (STOBART),IE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11518,MAERSK AIR CARGO (Tidligere STAR AIR),DK,1304907,112152,20,0,0,0,0,0,0,1252317,788531,735941,1252317
COM11538,UNITED AVIATION,LY,0,0,1,0,0,0,0,0,0,0,0,0,0
COM11556,AVFUEL & AVPLAN - PACIFIC COAST FORECASTING Corporation 2,US,50343,0,0,0,0,0,0,0,0,48401,25920,23978,48401
COM11565,NATEAM,,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11571,EUROJET SERVIS sB.r.o.,CZ,52755,4269,0,0,0,0,0,0,0,52344,30032,29621,52344
COM11573,ALKAN AIR,EG,29279,0,2,0,0,0,0,0,0,28129,15209,14059,28129
COM11595,OLYMPIC AIR S.A.,GR,479715,0,17,0,0,0,0,0,0,489092,479715,489092,489092
COM11611,Cimber A/S,,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11612,Aviation Bridge LTD,IL,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11619,Goldeck-Flug GmbH,AT,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11622,Panaviatic Ltd,EE,73161,5678,5,0,0,0,0,0,0,70571,41008,38418,70571
COM11637,EastUnion CJSC,RU,0,0,1,0,0,0,0,0,0,0,0,0,0
COM11640,BH AIR Ltd.,BG,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11650,SEABORNE AIRLINES Inc.,US,101446,18585,3,0,0,0,0,0,0,92653,64025,55232,92653
COM11653,West Atlantic UK Ltd.,GB,695704,55712,20,0,0,0,0,0,0,668974,421158,394428,668974
COM11655,Flair Aviation GmbH,DE,0,0,1,0,0,0,0,0,0,0,0,0,0
COM11665,Call & Fly,PL,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11668,Bin Air Aero Service GmbH,DE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11680,GestAir,ES,335519,6601,1,0,0,0,0,0,0,487390,142186,294058,487390
COM11682,Dana Airlines Limited,NG,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11724,United Aviation Services (with EULA) aka UAS Int. Trip Support,AE,361650,0,0,0,0,0,0,0,0,344933,213056,196339,344933
COM11742,JETBASE,PT,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11743,PETRO AIR,LY,106403,0,5,0,0,0,0,0,0,90252,60155,44004,90252
COM11770,Fly Aviation Services,AE,69298,0,0,0,0,0,0,0,0,63342,36451,30495,63342
COM11797,Flexjet Operations Ltd,GB,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11806,ELITAVIA,MT,316618,27124,14,0,0,0,0,0,0,338600,182902,204883,338600
COM11812,Wolf Flugplanungen (VIE),AT,27586,0,8,0,0,0,0,0,0,29179,15422,17015,29179
COM11835,S.C. AVIATIQ SUPPORT S.R.L,RO,286507,0,1,0,0,0,0,0,0,354602,92458,160553,354602
COM11843,ENAV S.p.A. Flight Inspection Dept.,IT,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11854,HERON Luftfahrt GmbH & Co. KG,DE,59521,0,15,0,0,0,0,0,0,93698,19439,53616,93698
COM11859,AMJET EXECUTIVE,GR,0,0,1,0,0,0,0,0,0,0,0,0,0
COM11861,LIBERTY AIR,NL,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11865,CityJet DAC,IE,635458,53845,22,0,0,0,0,0,0,626319,377470,368331,626319
COM11869,ACCESS FLIGHT SUPPORT FZE,AE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11884,NEXT JET TEST,,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11885,AJ PRODUKTER AB,SE,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11887,Avcon Jet AG,AT,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11888,Jetflight Aviation Ltd.,C1,500900,107347,0,0,0,0,0,0,0,424164,320442,243707,424164
COM11892,2 Excel Aviation Limited,GB,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11898,PEAK Air GMBH,DE,0,0,3,0,0,0,0,0,0,0,0,0,0
COM11902,AIS Airlines,NL,38941,3162,3,0,0,0,0,0,0,46625,24117,31801,46625
COM11903,Jota Aviation Ltd,GB,0,0,0,10,0,0,0,0,0,0,0,0,0
COM11909,Sovereign Business Jets Limited,GB,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11910,Air Europa,ES,0,0,60,0,0,0,0,0,0,0,0,0,0
COM11934,Speedwings Business SA (Sparfell),CH,38224,0,1,0,0,0,0,0,0,36488,23014,21277,36488
COM11939,Continental Jet Services,AE,49625,315,0,0,0,0,0,0,0,47378,29874,27628,47378
COM11941,BESTFLY,AO,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11977,IBEROSIME FS S.L.,ES,144006,0,1,0,0,0,0,0,0,142064,25920,23978,142064
COM11995,AirOp Aviation Management Service,IN,0,0,0,0,0,0,0,0,0,0,0,0,0
COM11997,IAS Medical Ltd.,GB,98386,16930,7,0,0,0,0,0,0,93915,59236,54765,93915
COM12003,FCG OPS (Flight Consulting Group),CY,67265,0,1,0,0,0,0,0,0,52181,45648,30564,52181
